BatchA:

Corrupted Frame Report - Tue 17 Jun 14:01:09 CEST 2025
---------------------------------
1037_B_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1037_B_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1037_B_s9_rp_12.4kHz.mpg: 1 corrupted frames, duration: 2280.80s
934_B_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
934_B_s1_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
934_B_s2_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
934_B_s3_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
934_B_s4_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
934_B_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
934_B_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
934_B_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
934_B_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
934_B_s9_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2280.80s
935_B_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
935_B_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
935_B_s2_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1080.64s
935_B_s3_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
935_B_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
935_B_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
935_B_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
935_B_s7_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1620.80s
935_B_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
935_B_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.84s
990_B_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
990_B_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
990_B_s2_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
990_B_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
990_B_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
990_B_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
990_B_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
990_B_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
990_B_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
990_B_s9_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2280.80s

Batch C:

Corrupted Frame Report - Wed 18 Jun 09:51:01 CEST 2025
---------------------------------
1020_C_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1020_C_s1_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1080.84s
1020_C_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1020_C_s3_rm_7.4kHz.mpg: 1 corrupted frames, duration: 2295.76s
1020_C_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1020_C_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
1020_C_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1020_C_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1020_C_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1020_C_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
937_C_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
937_C_s1_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
937_C_s2_rp_12.4kHz.mpg: 1 corrupted frames, duration: 1080.64s
937_C_s3_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
937_C_s4_rp_12.4kHz.mpg: 1 corrupted frames, duration: 1620.84s
937_C_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
937_C_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
937_C_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
937_C_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.76s
937_C_s9_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2280.72s
950_C_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
950_C_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
950_C_s2_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
950_C_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
950_C_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
950_C_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
950_C_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
950_C_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
950_C_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
950_C_s9_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
962_C_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
962_C_s1_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
962_C_s2_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
962_C_s3_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
962_C_s4_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
962_C_s5_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
962_C_s6_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
962_C_s7_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
962_C_s8_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
962_C_s9_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2280.80s
968_C_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
968_C_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
968_C_s2_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
968_C_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
968_C_s4_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1620.80s
968_C_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
968_C_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
968_C_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.72s
968_C_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
968_C_s9_rm_12.4kHz.mpg: 5 corrupted frames, duration: 2280.76s
974_C_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
974_C_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
974_C_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
974_C_s3_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
974_C_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
974_C_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
974_C_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
974_C_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
